state_name,state_code,prio_year,patent_count,gdp,pop,fuel,avg_temp,lpop,lgdp,lfuel,lgdp_sq,ltemp,ihs_patent_count,log_patent_count
Arizona,AZ,2015,17.8607142857143,282577,6833,43.58,61.8,8.829519094780778,12.55170635880085,3.774598329516474,157.5453325175617,4.123903364463645,3.5765335156579554,2.9370811495376845
Arizona,AZ,2016,19.5710317460317,291275.2,6945,35.68,62.2,8.845777255188445,12.582023803724246,3.5745903077118086,158.30732299748354,4.130354999745133,3.667849741706135,3.0238838602111713
Arizona,AZ,2017,17.9329365079365,303606.1,7048,47.44,63,8.860499167616016,12.62348641652838,3.85946575468947,159.35240930827652,4.143134726391533,3.5805627129164543,2.94090307775149
Arizona,AZ,2018,17.4083333333333,314827.5,7164,65.03,62.3,8.876823763180603,12.659780148762076,4.174848701881061,160.27003341499034,4.131961425793407,3.550920126586897,2.9128034606380693
Arizona,AZ,2019,23.2857142857143,325395.3,7292,59.94,60.3,8.894533135798554,12.692796029901238,4.0933440618885175,161.10707105667663,4.09933210373314,3.8414479774137833,3.189888287994949
Arizona,AZ,2020,5.06666666666666,327178,7178,36.65,62.6,8.878776071707552,12.698259644286395,3.6014134283326604,161.24579799371244,4.136765278106052,2.3254296355558344,1.802809305414639
Arkansas,AR,2000,0.142857142857143,89871.7,2679,28.22,60.9,7.893198869544609,11.406138376685817,3.340030946424668,130.09999266810496,4.109233174715851,0.14237564316780452,0.13353139262452277
Arkansas,AR,2001,3.33333333333333,89789,2692,23.43,61.2,7.898039690764619,11.405217752355163,3.1540172525197043,130.07899197863736,4.11414718951828,1.9188964720985298,1.4663370687934263
Arkansas,AR,2002,0,92950.5,2706,23.74,60.6,7.903226808730733,11.439822372371271,3.167161389181522,130.86953591140625,4.104294893075269,-0,0
Arkansas,AR,2003,0.333333333333333,96944.5,2725,29.08,60.3,7.9102237070973445,11.481893928788239,3.3700506526653187,131.83388819194423,4.09933210373314,0.3274501502372581,0.2876820724517807
Arkansas,AR,2004,0.333333333333333,101733.6,2750,38.41,61,7.919356190660617,11.530112910952873,3.6483178423578133,132.94350373932213,4.110873864173311,0.3274501502372581,0.2876820724517807
Arkansas,AR,2005,3.5,105980,2781,51.96,62,7.930565854233965,11.571005676046752,3.9504741918023987,133.88817235510615,4.127134385045092,1.9657204716496515,1.5040773967762742
Arkansas,AR,2006,0,108460.6,2822,61.49,62,7.945201132412759,11.594142252373112,4.118874559965378,134.42413456826347,4.127134385045092,-0,0
Arkansas,AR,2007,0.5,107606.1,2849,68.37,61.8,7.954723334497908,11.586232616552735,4.2249341319257026,134.24078624487043,4.123903364463645,0.48121182505960347,0.4054651081081644
Arkansas,AR,2008,0.583333333333333,106536.5,2875,97.64,59.9,7.963807953231451,11.576242928420198,4.581287245524759,134.00940033779864,4.092676505121403,0.5544809122091858,0.45953232937843996
Arkansas,AR,2009,3.33333333333333,102996.6,2897,57.77,59.9,7.9714309977693505,11.542451256958202,4.056469609793174,133.22818101925597,4.092676505121403,1.9188964720985298,1.4663370687934263
Arkansas,AR,2010,3.08333333333333,105662,2922,76.57,61.2,7.980023592310645,11.568000599178193,4.338205355125032,133.81863786258702,4.11414718951828,1.844474469785555,1.4069136483226257
Arkansas,AR,2011,5.76666666666666,107932.5,2941,96.79,61.8,7.9865049385539955,11.589261310712438,4.572543683160998,134.31097772797617,4.123903364463645,2.452675798630474,1.912008597379631
Arkansas,AR,2012,9.08333333333333,108492.1,2953,96.11,63.6,7.990576881743923,11.59443263825189,4.565493368835193,134.43086820296068,4.152613470346076,2.9026047811910423,2.3108838958087405
Arkansas,AR,2013,3.66666666666667,110752.4,2960,97.53,59.6,7.992944547318106,11.615052358101476,4.580160022983923,134.90944128143866,4.087655574071304,2.0105269819028444,1.5404450409471495
Arkansas,AR,2014,2.2,111734.5,2969,88.43,58.7,7.99598047476376,11.62388080039489,4.482211278587644,135.11460486178893,4.072439726834051,1.529660495090404,1.1631508098056809
Arkansas,AR,2015,0.333333333333333,112351,2980,45.61,61.4,7.9996785794994505,11.629383178330428,3.820126990723609,135.24255310843475,4.117409835153096,0.3274501502372581,0.2876820724517807
